time,place,mag,depth,longitude,latitude,type,id,url
2024-03-12 05:02:25.344,South Sandwich Islands region,4.9,141.83,-27.6605,-59.9255,earthquake,us7000m4t7,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4t7
2024-03-12 04:37:30.566,"21 km NNE of Malfa, Italy",4.7,229.675,14.9629,38.7396,earthquake,us7000m4t4,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4t4
2024-03-12 03:42:32.387,"90 km WSW of San Antonio, Chile",5.1,13.89,-72.5373,-33.8366,earthquake,us7000m4sw,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4sw
2024-03-12 03:10:29.000,"126 km NE of Hihifo, Tonga",5.0,10.0,-172.9716,-15.1365,earthquake,us7000m4ss,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ss
2024-03-11 20:45:02.945,Fiji region,4.5,612.532,-178.9716,-20.9126,earthquake,us7000m4r3,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4r3
2024-03-11 19:41:58.471,"225 km E of Levuka, Fiji",4.9,573.271,-178.5576,-17.9131,earthquake,us7000m4qp,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4qp
2024-03-11 15:34:05.243,"27 km NNW of Davila, Philippines",4.5,24.563,120.4876,18.7094,earthquake,us6000mj40,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj40
2024-03-11 08:04:11.950,"14 km NNE of Kandrian, Papua New Guinea",4.5,51.0,149.6062,-6.0849,earthquake,us7000m4ms,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ms
2024-03-11 06:21:49.757,South Sandwich Islands region,4.5,10.0,-26.7184,-57.5889,earthquake,us6000mj3n,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj3n
2024-03-11 05:46:43.105,"72 km SW of San Juan del Sur, Nicaragua",4.6,35.0,-86.3446,10.7988,earthquake,us7000m4mh,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4mh
2024-03-11 03:59:01.694,"75 km NW of Tamarindo, Costa Rica",4.5,10.0,-86.4136,10.6832,earthquake,us7000m4m3,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4m3
2024-03-11 03:47:16.887,"75 km WNW of Tamarindo, Costa Rica",5.0,16.18,-86.4369,10.6428,earthquake,us7000m4m2,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4m2
2024-03-11 03:29:02.505,"35 km E of Port-Olry, Vanuatu",4.5,129.054,167.3986,-15.0675,earthquake,us6000mj3k,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj3k
2024-03-11 01:06:22.917,"206 km ENE of Levuka, Fiji",4.5,560.606,-178.8243,-17.4972,earthquake,us7000m4lq,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4lq
2024-03-10 21:05:16.514,"103 km SSE of Sola, Vanuatu",4.5,10.886,168.0287,-14.691,earthquake,us6000mj2z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2z
2024-03-10 20:33:55.388,west of Macquarie Island,5.0,10.0,139.9642,-52.2729,earthquake,us7000m4kv,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kv
2024-03-10 19:52:37.299,"84 km SE of La Tirana, Chile",4.5,111.05,-69.1363,-20.921,earthquake,us7000m4kp,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kp
2024-03-10 18:04:38.173,"147 km NW of Coquimbo, Chile",4.6,10.0,-72.6101,-29.2196,earthquake,us7000m4kd,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kd
2024-03-10 17:20:01.924,"Izu Islands, Japan region",4.8,10.0,141.7641,31.8613,earthquake,us7000m4ka,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ka
2024-03-10 13:55:57.564,"16 km S of Finike, Turkey",4.8,44.819,30.1252,36.1454,earthquake,us7000m4jl,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4jl
2024-03-10 13:42:26.212,Falkland Islands region,4.6,10.0,-55.3106,-54.5354,earthquake,us6000mj2w,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2w
2024-03-10 12:35:08.680,"184 km ESE of Kimbe, Papua New Guinea",5.0,50.855,151.6202,-6.3183,earthquake,us7000m4ja,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ja
2024-03-10 10:20:34.287,"263 km ENE of Lospalos, Timor Leste",4.9,136.977,129.028,-7.2613,earthquake,us7000m4iw,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4iw
2024-03-10 07:41:05.710,"132 km E of Neiafu, Tonga",5.0,10.0,-172.7477,-18.8498,earthquake,us7000m4id,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4id
2024-03-10 06:26:38.194,"116 km WSW of Abepura, Indonesia",4.5,39.154,139.6323,-2.9216,earthquake,us6000mj2i,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2i
2024-03-10 03:05:02.993,"277 km ENE of Lospalos, Timor Leste",5.0,88.58,129.1918,-7.2929,earthquake,us7000m4hd,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4hd
2024-03-10 00:09:40.139,Mid-Indian Ridge,4.6,10.0,69.4083,-22.6034,earthquake,us6000mj2h,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2h
2024-03-09 19:58:53.199,"16 km E of Calama, Chile",4.6,127.451,-68.7624,-22.4356,earthquake,us7000m4fz,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4fz
2024-03-09 19:23:12.418,"128 km W of Valparaíso, Chile",4.5,13.662,-72.9866,-33.2365,earthquake,us7000m4ft,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ft
2024-03-09 16:59:19.948,"219 km N of Saipan, Northern Mariana Islands",4.5,22.63,146.0266,17.1792,earthquake,us6000mj16,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj16
2024-03-09 15:37:46.051,"Maug Islands region, Northern Mariana Islands",4.5,111.506,145.6841,19.0936,earthquake,us6000mj13,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj13
2024-03-09 15:27:42.508,"97 km SSE of Isangel, Vanuatu",4.5,129.8,169.692,-20.3333,earthquake,us6000mj12,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj12
2024-03-09 13:43:55.987,South Sandwich Islands region,4.6,9.954,-28.5071,-56.5306,earthquake,us6000mj10,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj10
